,concept_id,concept_name,hierarchy
503,715001,Nontraumatic rupture of urethra (disorder),disorder
504,718004,Acute bronchiolitis with obstruction (disorder),disorder
506,722009,Fine needle biopsy of thymus (procedure),procedure
507,723004,Dense intermediate filament bundles (cell structure),cell structure
510,726007,"Pathology consultation, comprehensive, records and specimen with report (procedure)",procedure
514,730005,Incision of subcutaneous tissue (procedure),procedure
516,734001,Opocephalus (disorder),disorder
518,736004,Abscess of hip (disorder),disorder
521,738003,Ball valve obstruction (morphologic abnormality),morphologic abnormality
524,741007,Operation on prostate (procedure),procedure
526,746002,Chiropractic adjustment of coccyx subluxation (procedure),procedure
530,750009,Schistosoma mansoni infection (disorder),disorder
533,753006,Manipulation of ankle AND foot (procedure),procedure
534,754000,Total urethrectomy (procedure),procedure
535,755004,Postgastrectomy phytobezoar (disorder),disorder
536,756003,Chronic myopericarditis due to rheumatic heart disease (disorder),disorder
537,758002,Cyst of uterus (disorder),disorder
538,759005,Intracerebral electroencephalogram (procedure),procedure
541,762008,Computed tomography of cervical spine with contrast (procedure),procedure
543,764009,Arthrodesis of interphalangeal joint of great toe (procedure),procedure
544,767002,White blood cell count (procedure),procedure
551,774007,Structure of head and/or neck (body structure),body structure
552,776009,Partial occlusion of retinal artery (disorder),disorder
554,781000,Cestrum diurnum poisoning (disorder),disorder
558,787001,Rheumatic mitral stenosis with regurgitation (disorder),disorder
559,788006,Disease-related diet (finding),finding
560,789003,"Cranial decompression, subtemporal, supratentorial (procedure)",procedure
561,790007,Structure of visceral aspect of liver (body structure),body structure
562,791006,Dressing and fixation procedure (procedure),procedure
563,792004,Jakob-Creutzfeldt disease (disorder),disorder
567,798000,Entire deep temporal vein (body structure),body structure
568,799008,Sigmoid colon ulcer (disorder),disorder
570,801006,Nonvenomous insect bite of foot with infection (disorder),disorder
572,803009,Paraganglioma (morphologic abnormality),morphologic abnormality
574,805002,Pneumoconiosis caused by silica (disorder),disorder
575,807005,Excision of brain (procedure),procedure
576,808000,Structure of posterior intercostal artery (body structure),body structure
577,809008,Structure of fetal chondrocranium (body structure),body structure
578,810003,Spindle cell nevus (morphologic abnormality),morphologic abnormality
579,811004,Flail motion (finding),finding
581,813001,Ankle instability (finding),finding
582,814007,Electrophoresis measurement (procedure),procedure
583,815008,Episcleritis (disorder),disorder
584,816009,Genetic recombination (finding),finding
585,817000,Excision of cyst of spleen (procedure),procedure
586,818005,Full thickness burn of multiple sites of lower limb (disorder),disorder
590,823005,Structure of posterior cervical spinal cord nerve root (body structure),body structure
592,825003,Superficial injury of axilla with infection (disorder),disorder
594,827006,"Late congenital syphilis, latent (positive serology - cerebrospinal fluid, 2 years OR more) (disorder)",disorder
595,830004,Structure of spinous process of fifth thoracic vertebra (body structure),body structure
596,831000,Drawer test (procedure),procedure
597,832007,Moderate major depression (disorder),disorder
599,834008,Chair-seated facing coital position (finding),finding
602,835009,Angioimmunoblastic T-cell lymphoma (morphologic abnormality),morphologic abnormality
603,836005,Structure of oral region of face (body structure),body structure
604,841002,Congenital absence of skull bone (disorder),disorder
605,842009,Consanguinity (finding),finding
606,843004,Poliomyelomalacia (disorder),disorder
607,844005,Behavior finding (finding),finding
608,845006,Injury of inferior mesenteric artery (disorder),disorder
612,849000,Mature cataract (disorder),disorder
615,853003,"Fecal fat measurement, 72-hour collection (procedure)",procedure
618,856006,Actinic keratosis (morphologic abnormality),morphologic abnormality
619,857002,Erythema simplex (disorder),disorder
623,862001,Anemia caused by chlorate (disorder),disorder
625,865004,Hyperalimentation formula for ileus (finding),finding
626,867007,Facial-hypoglossal nerve anastomosis (procedure),procedure
629,870006,Carbamazepine measurement (procedure),procedure
630,871005,Contracted pelvis (disorder),disorder
633,874002,Therapeutic diuresis (finding),finding
634,875001,Chalcosis of eye (disorder),disorder
639,879007,"Special blood coagulation test, explain by report (procedure)",procedure
640,881009,Cyclodialysis (procedure),procedure
643,885000,Structure of lamina muscularis of colonic mucous membrane (body structure),body structure
646,890002,Deep third degree burn of elbow (disorder),disorder
649,893000,Tumor antigen measurement (procedure),procedure
650,895007,Structure of anterior cruciate ligament of knee joint (body structure),body structure
652,897004,Radical maxillary antrotomy (procedure),procedure
654,899001,Axis I diagnosis (disorder),disorder
655,900006,Mucin-producing adenocarcinoma (morphologic abnormality),morphologic abnormality
657,903008,Chorioretinal infarction (disorder),disorder
658,904002,Pinard's sign (finding),finding
662,910002,"3-Methoxy-4-hydroxphenylglycol measurement, urine (procedure)",procedure
663,911003,Removal of subarachnoid-ureteral shunt (procedure),procedure
664,912005,Congenital stenosis of esophagus (disorder),disorder
665,913000,Chiropractic patient education (procedure),procedure
666,915007,Malignant melanoma in junctional nevus (morphologic abnormality),morphologic abnormality
668,917004,Superior laryngeal aperture structure (body structure),body structure
670,921006,Structure of thyrohyoid branch of ansa cervicalis (body structure),body structure
674,926001,Embolectomy with catheter of radial artery by incision of upper limb (procedure),procedure
676,928000,Disorder of musculoskeletal system (disorder),disorder
678,931004,"Gestation period, 9 weeks (finding)",finding
679,932006,Flat affect (finding),finding
681,934007,Thalassemia intermedia (disorder),disorder
682,935008,Excision of bulbourethral gland (procedure),procedure
686,941001,Endoscopy of pituitary gland (procedure),procedure
687,943003,Congenital retinal aneurysm (disorder),disorder
689,947002,Structure of crus of diaphragm (body structure),body structure
690,948007,Phlebectomy of intracranial varicose vein (procedure),procedure
691,951000,Ultrasonic guidance for endomyocardial biopsy (procedure),procedure
693,955009,Bronchial structure (body structure),body structure
695,961007,Acute erythema nodosum (disorder),disorder
696,962000,Disability evaluation disability 6 percent (finding),finding
698,965003,Toxic amblyopia (disorder),disorder
699,967006,Medication education (procedure),procedure
701,969009,Incision and exploration of larynx (procedure),procedure
702,971009,Prosthetic construction and fitting (procedure),procedure
705,975000,Anorectal agenesis (disorder),disorder
706,976004,Structure of ovarian vein (body structure),body structure
708,978003,Chronic infantile eczema (disorder),disorder
710,981008,Hemorrhagic proctitis (disorder),disorder
711,984000,Perirectal cellulitis (disorder),disorder
712,985004,Schwannoma (morphologic abnormality),morphologic abnormality
713,987007,Cellulitis of temple region (disorder),disorder
714,988002,Wet gangrene (morphologic abnormality),morphologic abnormality
716,991002,Wide QRS complex (finding),finding
720,996007,Structure of meningeal branch of occipital artery (body structure),body structure
722,998008,Chagas' disease with heart involvement (disorder),disorder
723,999000,Mixed islet cell and exocrine adenocarcinoma (morphologic abnormality),morphologic abnormality
724,1001000,Cauterization of Bartholin's gland (procedure),procedure
726,1003002,Religious discrimination (finding),finding
728,1005009,Entire diaphragmatic lymph node (body structure),body structure
730,1008006,Operation on nerve ganglion (procedure),procedure
733,1012000,Structure of fibrous portion of pericardium (body structure),body structure
736,1015003,Structure of peritonsillar tissue (body structure),body structure
739,1019009,Removal of corneal epithelium (procedure),procedure
740,1020003,Disease caused by Nairovirus (disorder),disorder
741,1021004,Repair of scrotum (procedure),procedure
742,1023001,Apnea (finding),finding
744,1027000,Alkaline reflux disease (disorder),disorder
745,1028005,Sebaceous gland structure (body structure),body structure
746,1029002,Fetoscopy (procedure),procedure
