,concept_id,concept_name,hierarchy
356881,1373530000,Structure of interphalangeal joint of right fourth toe (body structure),body structure
356882,1373531001,Entire interphalangeal joint of fifth toe (body structure),body structure
356883,1373532008,Structure of interphalangeal joint of left fifth toe (body structure),body structure
356884,1373533003,Structure of interphalangeal joint of right fifth toe (body structure),body structure
356887,1373538007,Reconstruction of macular hole using inverted internal limiting membrane flap (procedure),procedure
356888,1373539004,Excision of iliac artery (procedure),procedure
356889,1373540002,Lymphocytic portal hepatitis (finding),finding
356890,1373542005,Myelitis caused by Influenza virus (disorder),disorder
356891,1373543000,Excision of left atrial appendage (procedure),procedure
356892,1373545007,Excision of atrial appendage using percutaneous approach (procedure),procedure
356893,1373546008,Excision of right atrial appendage (procedure),procedure
356894,1373547004,Traumatic dislocation of interphalangeal joint of third toe (disorder),disorder
356895,1373548009,Traumatic dislocation of interphalangeal joint of fourth toe (disorder),disorder
356896,1373549001,Traumatic dislocation of interphalangeal joint of fifth toe (disorder),disorder
356897,1373550001,Traumatic dislocation of interphalangeal joint of second toe (disorder),disorder
356899,1373552009,Intra-abdominal hypertension (disorder),disorder
356900,1373553004,World Society of the Abdominal Compartment Syndrome consensus guidelines intra-abdominal hypertension grade I (disorder),disorder
356901,1373554005,World Society of the Abdominal Compartment Syndrome consensus guidelines intra-abdominal hypertension grade II (disorder),disorder
356902,1373555006,World Society of the Abdominal Compartment Syndrome consensus guidelines intra-abdominal hypertension grade III (disorder),disorder
356903,1373556007,World Society of the Abdominal Compartment Syndrome consensus guidelines intra-abdominal hypertension grade IV (disorder),disorder
356904,1373557003,Structure of left anterior tibial muscle tendon sheath (body structure),body structure
356905,1373558008,Structure of right anterior tibial muscle tendon sheath (body structure),body structure
356906,1373560005,Scleral sutureless fixation of posterior chamber intraocular lens (procedure),procedure
356907,1373561009,Neuronal ceroid lipofuscinosis type 2 (disorder),disorder
356908,1373562002,Fitting of anchored bone-conduction hearing aid to bone anchored fixture (procedure),procedure
356909,1373563007,Neuronal ceroid lipofuscinosis type 1 (disorder),disorder
356910,1373564001,Administration of prophylactic antiemetic for chemotherapy-induced nausea and vomiting (procedure),procedure
356911,1373565000,Administration of prophylactic drug or medicament for allergy (procedure),procedure
356914,1373568003,Administration of prophylactic antiemetic (procedure),procedure
356915,1373571006,Fracture of dental implant abutment (disorder),disorder
356918,1373573009,Normal vertical dimension of occlusion (finding),finding
356919,1373574003,Structure of left tendon of sartorius (body structure),body structure
356920,1373575002,Structure of right tendon of sartorius (body structure),body structure
356922,1373578000,Inflammation of tendon of sartorius (disorder),disorder
356927,1373585001,Structure of tendon of left gastrocnemius (body structure),body structure
356928,1373586000,Structure of tendon of right gastrocnemius (body structure),body structure
356929,1373587009,Swyer James MacLeod syndrome (disorder),disorder
356930,1373589007,Removal of intraperitoneal embryo (procedure),procedure
356931,1373590003,Allergy to multiple allergens (finding),finding
356932,1373591004,Removal of ectopic intraligamentous fetus (procedure),procedure
356933,1373592006,Structure of bursa of left upper limb (body structure),body structure
356934,1373593001,Structure of bursa of right upper limb (body structure),body structure
356935,1373597000,Obliterative bronchiolitis due to infectious disease (disorder),disorder
356936,1373598005,Myofascial pain syndrome of upper limb (disorder),disorder
356937,1373599002,Out-of-hospital cardiac arrest (disorder),disorder
356938,1373600004,In-hospital cardiac arrest (disorder),disorder
356941,1373605009,"Desmoplastic myxoid tumor of pineal region, SMARCB1 mutant (morphologic abnormality)",morphologic abnormality
356942,1373607001,Castration complex (finding),finding
356943,1373608006,Castration anxiety (finding),finding
356944,1373614004,Meningioma (morphologic abnormality),morphologic abnormality
356945,1373615003,Excessive wear of teeth (disorder),disorder
356946,1373616002,Wear of teeth (disorder),disorder
356947,1373625008,Prosthetic partial arthroplasty of knee joint (procedure),procedure
356948,1373629002,Infectious bursitis of knee (disorder),disorder
356949,1373631006,Disorder of duodenostomy following surgical procedure (disorder),disorder
356950,1373632004,Disorder of intestinal stoma following surgical procedure (disorder),disorder
356951,1373633009,Disorder of urological stoma following surgical procedure (disorder),disorder
356952,1373634003,Disorder of jejunostomy following surgical procedure (disorder),disorder
356953,1373635002,Benign cerebellopontine angle meningioma (disorder),disorder
356954,1373636001,Disconnection of epidural catheter (finding),finding
356955,1373640005,Prosthetic unicompartmental medial knee arthroplasty (procedure),procedure
356956,1373641009,Prosthetic unicompartmental lateral knee arthroplasty (procedure),procedure
356957,1373643007,Prosthetic bicompartmental arthroplasty of knee (procedure),procedure
356961,1373648003,Targeted excision of axillary lymph node (procedure),procedure
356962,1373663000,Acute osteomyelitis of left tibia (disorder),disorder
356963,1373664006,Acute osteomyelitis of right tibia (disorder),disorder
356964,1373673003,Nail matrix part (body structure),body structure
356965,1373674009,Chronic cardiorenal syndrome (disorder),disorder
356966,1373675005,Chronic renocardiac syndrome (disorder),disorder
356967,1373676006,Acute renocardiac syndrome (disorder),disorder
356969,1373678007,Structure of tunica media of pulmonary artery (body structure),body structure
356970,1373679004,Structure of tunica adventitia of pulmonary artery (body structure),body structure
356971,1373680001,Structure of tunica intima of pulmonary artery (body structure),body structure
356972,1373681002,Secondary cardiorenal syndrome (disorder),disorder
356973,1373686007,Disorder of ileostomy following surgical procedure (disorder),disorder
356975,1373689000,Entire tunica intima of pulmonary artery (body structure),body structure
356976,1373690009,Entire tunica adventitia of pulmonary artery (body structure),body structure
356977,1373691008,Entire tunica media of pulmonary artery (body structure),body structure
356980,1373707009,Administration of prophylactic antibiotic following bite wound (procedure),procedure
356981,1373708004,Administration of prophylactic antibiotic for respiratory infection (procedure),procedure
356982,1373709007,Structure of left superior iliac crest region of trunk (body structure),body structure
356983,1373710002,Structure of right superior iliac crest region of trunk (body structure),body structure
356984,1373711003,Contusion of superior iliac crest region of trunk (disorder),disorder
356986,1373713000,Benign neoplasm of vermilion of upper lip (disorder),disorder
356987,1373714006,Structure of flexor tendon within hip region (body structure),body structure
356988,1373715007,Entire flexor tendon within hip region (body structure),body structure
356989,1373716008,Structure of flexor tendon within left hip region (body structure),body structure
356990,1373717004,Structure of flexor tendon within right hip region (body structure),body structure
356991,1373718009,Tendinitis of flexor tendon of hip region (disorder),disorder
356992,1373719001,Malignant meningioma (disorder),disorder
356993,1373720007,Metastatic malignant meningioma (disorder),disorder
356994,1373721006,Metastatic meningioma (morphologic abnormality),morphologic abnormality
356995,1373722004,Displacement of epidural catheter (finding),finding
356996,1373723009,Uremic secondary hyperparathyroidism (disorder),disorder
356997,1373727005,Shyness (finding),finding
356998,1373742008,Infection of bite wound (disorder),disorder
356999,1373743003,Structure of basivertebral nerve (body structure),body structure
357000,1373744009,Entire basivertebral nerve (body structure),body structure
357001,1373745005,X-linked severe syndromic thoracic aortic aneurysm and dissection (disorder),disorder
357002,1373746006,Mandibuloacral dysplasia due to metaxin 2 gene mutation (disorder),disorder
357003,1373747002,Neonatal isolated spontaneous perforation of intestine (disorder),disorder
357004,1373748007,"Intellectual disability, speech delay, dysmorphic features, T cell abnormalities syndrome (disorder)",disorder
357005,1373749004,Non-syndromic unicoronal craniosynostosis (disorder),disorder
357006,1373750004,Stellate nonhereditary idiopathic foveomacular retinoschisis (disorder),disorder
357008,1373752007,Post 5-alpha-reductase inhibitor treatment syndrome (disorder),disorder
357009,1373753002,Administration of 5-alpha reductase inhibitor (procedure),procedure
357010,1373754008,Triglyceride deposit cardiomyovasculopathy (disorder),disorder
357015,1373768001,Neuronal ceroid lipofuscinosis type 4 (disorder),disorder
357016,1373770005,Neuronal ceroid lipofuscinosis type 8 (disorder),disorder
357017,1373771009,Neuronal ceroid lipofuscinosis type 5 (disorder),disorder
357018,1373772002,Structure of wall of popliteal artery (body structure),body structure
357019,1373773007,Neuronal ceroid lipofuscinosis type 6 (disorder),disorder
357020,1373774001,Neuronal ceroid lipofuscinosis type 7 (disorder),disorder
357021,1373775000,Neuronal ceroid lipofuscinosis type 11 (disorder),disorder
357022,1373776004,Entire wall of popliteal artery (body structure),body structure
357023,1373777008,Neuronal ceroid lipofuscinosis type 13 (disorder),disorder
357027,1373781008,Open removal of extracorporeal membrane oxygenation cannula (procedure),procedure
357028,1373782001,Closure of arteriotomy using percutaneous closure device (procedure),procedure
357029,1373784000,Semi-pedunculated polyp (morphologic abnormality),morphologic abnormality
357030,1373785004,Percutaneous closure for removal of extracorporeal membrane oxygenation cannula (procedure),procedure
357032,1373787007,Doppler ultrasonography of abdominal and pelvic veins (procedure),procedure
357033,1373789005,Removal of product of conception of ectopic pregnancy (procedure),procedure
357035,1373794005,Structure of ostium of coronary intermediate artery (body structure),body structure
357036,1373795006,Entire ostium of coronary intermediate artery (body structure),body structure
357037,1373798008,Structure of distal segment of coronary intermediate artery (body structure),body structure
357038,1373799000,Structure of proximal segment of coronary intermediate artery (body structure),body structure
357039,1373800001,Structure of mid segment of coronary intermediate artery (body structure),body structure
357040,1373803004,Entire mid segment of coronary intermediate artery (body structure),body structure
357041,1373804005,Entire distal segment of coronary intermediate artery (body structure),body structure
357042,1373805006,Entire proximal segment of coronary intermediate artery (body structure),body structure
357043,1373806007,Structure of second septal perforator branch of anterior descending branch of left coronary artery (body structure),body structure
357044,1373807003,Structure of third septal perforator branch of anterior descending branch of left coronary artery (body structure),body structure
357045,1373808008,Entire second septal perforator branch of anterior descending branch of left coronary artery (body structure),body structure
357046,1373809000,Entire third septal perforator branch of anterior descending branch of left coronary artery (body structure),body structure
357047,1373811009,Positron emission tomography using fluorodeoxyglucose (18-F) with computed tomography with contrast (procedure),procedure
357048,1373812002,Radiofrequency thermal ablation of brain (procedure),procedure
357049,1373813007,Structure of first marginal branch of right coronary artery (body structure),body structure
357050,1373814001,Entire first marginal branch of right coronary artery (body structure),body structure
357051,1373815000,Positron emission tomography with computed tomography using fluorodeoxyglucose (18-F) (procedure),procedure
357052,1373816004,Structure of lumbar paraspinous muscle group (body structure),body structure
357053,1373817008,Entire lumbar paraspinous muscle group (body structure),body structure
357054,1373819006,Focused ultrasound thermal ablation of brain using magnetic resonance imaging guidance (procedure),procedure
357055,1373820000,Positron emission tomography with magnetic resonance imaging (procedure),procedure
357056,1373821001,Subdural intracranial hematoma with subarachnoid intracranial hemorrhage (disorder),disorder
357059,1373822008,Retroorbital pain (finding),finding
357060,1373823003,Provision of community service (regime/therapy),regime/therapy
357061,1373825005,Assessment of community service (procedure),procedure
357062,1373826006,Management of community service (procedure),procedure
357063,1373827002,Displacement of tracheal tube (disorder),disorder
357064,1373828007,Repositioning of tracheostomy tube (procedure),procedure
357065,1373829004,Disorder associated with intra-aortic balloon catheter (disorder),disorder
357066,1373830009,Disorder associated with intra-aortic balloon pump (disorder),disorder
357069,1373832001,Infection associated with intra-aortic balloon catheter (disorder),disorder
357070,1373833006,Thrombosis of aorta due to and following insertion of intra-aortic balloon catheter (disorder),disorder
357072,1373835004,Frontalis flap advancement (procedure),procedure
357078,1373843009,Thrombosis of aorta due to and following removal of intra-aortic balloon catheter (disorder),disorder
357080,1373848000,Ab interno Minimally Invasive Micro Sclerostomy (procedure),procedure
357090,1373896000,Contusion of sacroiliac joint (disorder),disorder
357091,1373897009,Ultrasonography of stomach (procedure),procedure
357095,1375924007,Neuronal ceroid lipofuscinosis type 10 (disorder),disorder
357096,1375926009,Neuronal ceroid lipofuscinosis type 3 (disorder),disorder
357097,1375927000,Autosomal dominant spastic paraplegia type 79A (disorder),disorder
357098,1375933009,Traumatic injury to stomach during surgical procedure (disorder),disorder
357099,1375934003,Traumatic injury to peripheral nerve during surgical procedure (disorder),disorder
357100,1375935002,Traumatic injury to pancreas during surgical procedure (disorder),disorder
357101,1375936001,Traumatic injury to kidney during surgical procedure (disorder),disorder
357102,1375937005,Traumatic injury to vein during surgical procedure (disorder),disorder
357103,1375939008,Edentulous maxilla (finding),finding
357106,1375943007,Edentulous mandible (finding),finding
357107,1375944001,Traumatic injury to artery during surgical procedure (disorder),disorder
357114,1375954002,Fistula of gastrointestinal tract following surgical procedure (disorder),disorder
357115,1375955001,Pneumothorax following procedure (disorder),disorder
357116,1375957009,Heart failure following surgical procedure (disorder),disorder
357118,1375961003,Fluoroscopic barium meal and follow through (procedure),procedure
357119,1375962005,Fluoroscopic barium meal (procedure),procedure
357120,1375963000,Fluoroscopic barium follow through (procedure),procedure
357121,1375965007,Fluoroscopic water soluble contrast meal and follow through (procedure),procedure
357122,1375966008,Fluoroscopic barium meal and follow through with pneumocolon (procedure),procedure
357125,1375971001,Fluoroscopic contrast enema via intestinal stoma (procedure),procedure
357126,1375972008,Endoscopic retrograde pancreatography via accessory ampulla of Vater using fluoroscopic guidance with contrast (procedure),procedure
357132,1375979004,Intraoperative imaging of pancreas with contrast (procedure),procedure
357133,1375980001,Plain X-ray of urinary system with intravenous contrast (procedure),procedure
357134,1375981002,Traumatic perioperative positioning injury of peripheral nerve (disorder),disorder
357141,1375990009,Postoperative infection of bloodstream associated with vascular catheter (disorder),disorder
357142,1375994000,"Risk, Injury, Failure, Loss of kidney function, and End-stage kidney disease classification, risk stage (disorder)",disorder
357143,1375995004,Methadone therapy (procedure),procedure
357144,1376001006,"Risk, Injury, Failure, Loss of kidney function, and End-stage kidney disease classification, injury stage (disorder)",disorder
357145,1376003009,"Risk, Injury, Failure, Loss of kidney function, and End-stage kidney disease classification, failure stage (disorder)",disorder
357146,1376004003,"Risk, Injury, Failure, Loss of kidney function, and End-stage kidney disease classification, loss stage (disorder)",disorder
357147,1376005002,"Risk, Injury, Failure, Loss of kidney function, and End-stage kidney disease classification, end stage (disorder)",disorder
357148,1376009008,Incision of joint of knee with removal of foreign body (procedure),procedure
357149,1376010003,Imaging of testis abnormal (finding),finding
357150,1376011004,Imaging of left testis abnormal (finding),finding
357151,1376012006,Imaging of left testis (procedure),procedure
357152,1376013001,Imaging of right testis (procedure),procedure
357153,1376014007,Imaging of right testis abnormal (finding),finding
357159,1376037001,Imaging of bilateral testes (procedure),procedure
357160,1376038006,Video directly observed therapy for tuberculosis (regime/therapy),regime/therapy
357180,1379920007,Human leukocyte antigen B*15:11 detected (finding),finding
357181,1379921006,Human leukocyte antigen B*15:11 not detected (finding),finding
357182,1379922004,High grade serous carcinoma of organ within abdominopelvic cavity (disorder),disorder
357183,1379923009,Insertion of dental bridge pontic into space of absent tooth (procedure),procedure
357184,1379924003,Restoration of tooth with gold inlay (procedure),procedure
357186,1379926001,Video fluoroscopy of soft palate (procedure),procedure
357187,1379927005,Video fluoroscopy of soft palate with barium contrast (procedure),procedure
357188,1379928000,High grade serous carcinoma (disorder),disorder
357189,1379957001,On waiting list for urgent accommodation (finding),finding
357190,1379959003,Angiography of bilateral internal carotid arteries (procedure),procedure
357191,1379963005,"Craniosynostosis, facial dysmorphism, Chiari-1 malformation, developmental and language delay syndrome (disorder)",disorder
357195,1379969009,Excessive vagus nerve activity (finding),finding
357199,1379987007,Birth ball exercise (regime/therapy),regime/therapy
357255,1380019004,Traumatic amputation of finger at level of middle phalanx (disorder),disorder
357256,1380020005,Traumatic amputation of index finger at level of middle phalanx (disorder),disorder
357257,1380021009,Traumatic amputation of middle finger at level of middle phalanx (disorder),disorder
357258,1380022002,Traumatic amputation of ring finger at level of middle phalanx (disorder),disorder
357259,1380023007,Traumatic amputation of little finger at level of middle phalanx (disorder),disorder
357260,1380024001,Rupture of posterior muscle of thigh (disorder),disorder
357261,1380025000,Laceration of upper eyelid (disorder),disorder
357262,1380026004,Laceration of lower eyelid (disorder),disorder
357263,1380028003,Rupture of quadriceps femoris muscle (disorder),disorder
357264,1380029006,Rupture of trapezius muscle (disorder),disorder
357265,1380030001,Rupture of tendon of peroneus brevis (disorder),disorder
357266,1380031002,Structure of left peroneus longus muscle tendon (body structure),body structure
357267,1380032009,Structure of right peroneus longus muscle tendon (body structure),body structure
357294,1380053000,Rupture of peroneus longus muscle tendon (disorder),disorder
357300,1380057004,Traumatic rupture of peroneus longus muscle tendon (disorder),disorder
357320,1380064002,Rupture of biceps brachii muscle (disorder),disorder
357388,1380103008,Acute arterial infarction of spinal cord (disorder),disorder
357391,1380106000,Contact dermatitis of skin of ankle (disorder),disorder
357392,1380107009,Contact dermatitis of skin of thigh (disorder),disorder
357393,1380109007,Herniorrhaphy (procedure),procedure
357394,1380110002,Hernioplasty (procedure),procedure
357401,1380118009,Computed tomography of ureter with contrast (procedure),procedure
357402,1380119001,Plain X-ray of ureter with contrast (procedure),procedure
357412,1380128000,Increased size of penis (finding),finding
357474,1380163005,Assessment of social support and social service needs (procedure),procedure
357475,1380164004,Assessment of eligibility for social benefits (procedure),procedure
357476,1380171009,Assessment of eligibility for health care and social services (procedure),procedure
357477,1380173007,Assessment of eligibility for assistive equipment (procedure),procedure
357478,1380180009,Cystoscopy and fluoroscopic retrograde ureteropyelography with contrast (procedure),procedure
357479,1380181008,Cystoscopy and fluoroscopic retrograde pyelography with contrast (procedure),procedure
357486,1380185004,Discharge of deceased subject (procedure),procedure
357487,1380186003,Closure of congenital umbilical defect-all layers (procedure),procedure
357488,1380187007,Closure of congenital umbilical defect-skin only (procedure),procedure
357490,1380190001,Repair of inguinal hernia and reduction of sliding hernia (procedure),procedure
357491,1380191002,Endoscopic repair of femoral hernia (procedure),procedure
357492,1380192009,Endoscopic repair of inguinal hernia (procedure),procedure
357493,1380202005,Bleeding disorder of unknown cause (disorder),disorder
357494,1380206008,Post infantile giant cell hepatitis (disorder),disorder
357497,1380209001,Nipple preserving subcutaneous mastectomy (procedure),procedure
357498,1380210006,Suprapubic ultrasonography of prostate (procedure),procedure
357499,1380212003,Bilateral mastectomy with preservation of skin and nipple (procedure),procedure
357500,1380213008,Immunoglobulin G4 related mediastinitis (disorder),disorder
357501,1380214002,Bilateral mastectomy with preservation of skin and nipple with synchronous implant (procedure),procedure
357502,1380215001,Reconstruction of vagina using gluteal flap (procedure),procedure
357503,1380216000,Reconstruction of vagina using rectus abdominis myocutaneous flap (procedure),procedure
357504,1380218004,Reconstruction of perineum using vertical rectus abdominis myocutaneous flap (procedure),procedure
357506,1380220001,Reconstruction of perineum using gluteal artery perforator flap (procedure),procedure
357507,1380221002,Reconstruction of perineum using gracilis flap (procedure),procedure
357510,1380224005,Reconstruction of perineum using anterolateral thigh flap (procedure),procedure
357511,1380225006,Reconstruction of perineum using mesh (procedure),procedure
357512,1380226007,Reconstruction of perineum using flap (procedure),procedure
357540,1380254000,"Developmental delay, language impairment, dopa responsive dystonia, parkinsonism syndrome (disorder)",disorder
357545,1380261001,DNA mismatch repair protein detected in neoplasm by immunohistochemistry (finding),finding
357548,1380262008,DNA mismatch repair protein not detected in neoplasm by immunohistochemistry (finding),finding
357606,1380320004,Adverse childhood experience (finding),finding
357607,1380321000,Fluoroscopic retrograde cystography with contrast (procedure),procedure
357608,1380322007,Plain X-ray retrograde cystography with contrast (procedure),procedure
357609,1380323002,Computed tomography retrograde cystography with contrast (procedure),procedure
357610,1380324008,Headache due to acute angle closure (finding),finding
357612,1380326005,Plain X-ray stress cystography with contrast (procedure),procedure
357613,1380327001,Fluoroscopic stress cystography with contrast (procedure),procedure
357614,1380328006,Computed tomography stress cystography with contrast (procedure),procedure
357615,1380329003,Plain X-ray cystography with contrast (procedure),procedure
357616,1380330008,Fluoroscopic cystography with intravenous contrast (procedure),procedure
357617,1380331007,Computed tomography cystography with intravenous contrast (procedure),procedure
357618,1380332000,Plain X-ray cystography with intravenous contrast (procedure),procedure
357619,1380333005,Computed tomography percutaneous cystography with contrast via suprapubic catheter (procedure),procedure
357620,1380334004,Fluoroscopic percutaneous cystography with contrast via suprapubic catheter (procedure),procedure
357638,1380352004,Endoscopic insertion of stent into intestinal conduit (procedure),procedure
357641,1380355002,Percutaneous endoscopic insertion of stent into intestinal conduit (procedure),procedure
357643,1380357005,Structure of intestinal conduit (morphologic abnormality),morphologic abnormality
357666,1380389001,Receives income from financial investment (finding),finding
357667,1380390005,Receives income from scholarship (finding),finding
357668,1380391009,Receives income from real estate (finding),finding
357674,1380422006,Antegonial notch structure (body structure),body structure
357675,1380423001,Entire antegonial notch (body structure),body structure
357676,1380424007,Carcinoma of bronchus (disorder),disorder
357677,1380425008,B-cell lymphoma of lymph nodes of thorax (disorder),disorder
357678,1380426009,Lymphoepithelial carcinoma of skin (disorder),disorder
357682,1381222002,Primary malignant neoplasm of upper urinary tract (disorder),disorder
357683,1381223007,Leiomyoma of urinary bladder (disorder),disorder
357684,1381224001,Condylomata acuminatum of scrotum (disorder),disorder
357685,1381225000,Magnetic resonance imaging of perianal fistula (procedure),procedure
357686,1381226004,Endoscopic replacement of stent in intestinal conduit (procedure),procedure
357687,1381227008,Percutaneous endoscopic replacement of stent in intestinal conduit (procedure),procedure
357688,1381228003,Endoscopic removal of stent from intestinal conduit (procedure),procedure
357689,1381229006,Endoscopic destruction of lesion of intestinal conduit (procedure),procedure
357690,1381230001,Endoscopic dilation of intestinal conduit (procedure),procedure
357691,1381231002,Percutaneous endoscopic removal of stent from intestinal conduit (procedure),procedure
357692,1381253000,Biguanide antiseptic and/or disinfectant adverse reaction (disorder),disorder
357693,1381254006,Percutaneous endoscopic examination of intestinal conduit (procedure),procedure
357694,1381255007,Percutaneous endoscopic dilation of intestinal conduit (procedure),procedure
357695,1381256008,Percutaneous endoscopic destruction of lesion of intestinal conduit (procedure),procedure
357700,1381266000,Vaginoscopic removal of foreign body (procedure),procedure
357701,1381269007,Endoscopic vitrectomy (procedure),procedure
357702,1381274004,Endoscopic excision of adenoid (procedure),procedure
357703,1381275003,Endoscopic vaginal natural orifice transluminal removal of adnexal structures (procedure),procedure
357704,1381278001,Arthroscopic reconstruction of ankle joint (procedure),procedure
357705,1381281006,Debulking of neoplasm of peritoneum (procedure),procedure
357706,1381293002,"Arthritis due to malignant neoplasm of lymphoid, hematopoietic and/or related tissue (disorder)",disorder
357707,1381294008,Arthritis due to malignant neoplastic disease (disorder),disorder
357709,1381298006,Degeneration of cervical spine (disorder),disorder
357710,1381302003,Medication-induced ejaculation disorder (disorder),disorder
357711,1381305001,Normogonadotropic hypogonadism (disorder),disorder
357712,1381307009,Not suitable for anesthesia (finding),finding
357713,1381308004,At increased risk for refeeding syndrome (finding),finding
357714,1381309007,Closure of congenital umbilical defect-with patch (procedure),procedure
357715,1381317004,Human epidermal growth factor receptor 2 low (finding),finding
357716,1381318009,Human epidermal growth factor receptor 2 ultralow (finding),finding
357717,1381323009,Structure of paraspinal muscle (body structure),body structure
357718,1381326001,Structure of lumbar part of longissimus thoracis muscle (body structure),body structure
357719,1381328000,Entire paraspinal muscle (body structure),body structure
357720,1381329008,Orbital apex syndrome (disorder),disorder
357721,1381330003,Superior orbital fissure syndrome (disorder),disorder
357723,1381363005,Excessive fear of infestation of skin by parasites (finding),finding
357724,1381366002,Structure of skeletal muscle of posterior region of trunk and/or neck (body structure),body structure
357725,1381367006,Entire skeletal muscle of posterior region of trunk and neck (body structure),body structure
357726,1381416009,Congenital deformity of ear (disorder),disorder
357727,1381423005,Entire paravertebral region (body structure),body structure
357728,1381428001,Inducible laryngeal obstruction (disorder),disorder
357730,1381429009,Fibromuscular dysplasia of wall of coronary artery (disorder),disorder
357731,1381430004,Angina pectoris with nonobstructive coronary arteries (disorder),disorder
357738,1381453003,Non-syndromic supernumerary kidneys (disorder),disorder
357739,1381459004,Arthroscopic repair of triangular fibrocartilage complex of wrist (procedure),procedure
357740,1381460009,Open repair of triangular fibrocartilage complex of wrist (procedure),procedure
357743,1381463006,Immunoglobulin G4 related coronary arteritis (disorder),disorder
357744,1381464000,Congenital critical stenosis of aortic valve with ductus arteriosus dependent systemic circulation (disorder),disorder
357748,1381487008,Receives spousal maintenance (finding),finding
357752,1381490002,Isolated granulomatosis of skin of anogenital region (disorder),disorder
357755,1381493000,Cerebral proliferative angiopathy (disorder),disorder
357756,1381494006,Congenital arteriovenous malformation of pancreas (disorder),disorder
357757,1381495007,Congenital arteriovenous malformation of spleen (disorder),disorder
357759,1381497004,Congenital venous malformation of spleen (disorder),disorder
357762,1381500005,Congenital arteriovenous malformation of gallbladder (disorder),disorder
357763,1381501009,Structure of blood vessel within gallbladder (body structure),body structure
357764,1381502002,Entire blood vessel within gallbladder (body structure),body structure
357765,1381505000,Insertion of drainage tube into pleural cavity (procedure),procedure
357766,1381506004,Insertion of drainage tube into mediastinal cavity (procedure),procedure
357767,1381507008,Use of trust building technique (procedure),procedure
357768,1381508003,Use of rapport building technique (procedure),procedure
357769,1381509006,Use of relationship building technique (procedure),procedure
357772,1381518008,Rapport established in subject provider relationship (finding),finding
357773,1381519000,Trust established in subject provider relationship (finding),finding
357774,1381520006,Structure of blood vessel within conjunctiva (body structure),body structure
357775,1381521005,Entire blood vessel within conjunctiva (body structure),body structure
357776,1381522003,Structure of blood vessel within urinary bladder (body structure),body structure
357777,1381523008,Entire blood vessel within urinary bladder (body structure),body structure
357778,1381524002,Ab interno Minimally Invasive Micro Sclerostomy of left eye (procedure),procedure
357779,1381525001,Ab interno Minimally Invasive Micro Sclerostomy of right eye (procedure),procedure
357780,1381526000,Sclerostomy of right eye (procedure),procedure
357781,1381527009,Sclerostomy of left eye (procedure),procedure
357782,1381528004,Sclerostomy of bilateral eyes (procedure),procedure
357783,1381530002,Fibro-adipose vascular anomaly (disorder),disorder
357784,1381531003,"Ephrin receptor B4-related capillary malformation, arteriovenous malformation (disorder)",disorder
357785,1381532005,"RAS p21 protein activator 1-related capillary malformation, arteriovenous malformation (disorder)",disorder
357786,1381533000,Congenital arteriovenous malformation of urinary tract (disorder),disorder
357787,1381534006,Structure of blood vessel of urinary tract proper (body structure),body structure
357788,1381535007,Entire blood vessel of urinary tract proper (body structure),body structure
357789,1381536008,Congenital critical stenosis of pulmonary valve with ductus arteriosus dependent pulmonary circulation (disorder),disorder
357790,1381537004,Gingivitis due to menstrual cycle (disorder),disorder
357791,1381540004,"Prolyl 3-hydroxylase 2 gene related high myopia, cataract, vitreoretinal degeneration (disorder)",disorder
357792,1381541000,Complete transposition of great vessels with concordant atrioventricular connections and intact ventricular septum (disorder),disorder
357810,1381566001,Hematuria due to glomerular disease (disorder),disorder
357813,1381569008,Post-bariatric hypoglycemia (disorder),disorder
357814,1381570009,Heart failure with improved ejection fraction (disorder),disorder
357831,1381616004,Cirrhosis (morphologic abnormality),morphologic abnormality
357832,1381622008,Loss of vertical dimension of occlusion (finding),finding
357834,1381623003,Pseudo class III malocclusion (disorder),disorder
357835,1381624009,Dehiscence of alveolar bone surrounding dental implant (disorder),disorder
357839,1381631008,Ab interno Minimally Invasive Micro Sclerostomy of bilateral eyes (procedure),procedure
357843,1381641006,Abdominal angiostrongyliasis (disorder),disorder
357866,1381717001,Foreshortening of intraoral plain X-ray (finding),finding
357870,1381721008,Ectopic thymus secretion (finding),finding
357871,1381722001,Ectopic human chorionic gonadotropin secretion (finding),finding
357877,1381730000,Perinatal fetal and/or neonatal infection (disorder),disorder
357878,1381739004,Melanoma in situ of mucous membrane of pharynx (disorder),disorder
357885,1381754005,Computed tomography angiography of aortic arch and supraaortic branches of thoracic aorta with contrast (procedure),procedure
357887,1381763007,Laparoscopic salpingoscopy (procedure),procedure
357888,1381774003,Excessive phytate acid intake (finding),finding
357890,1381777005,Excessive oxalate intake (finding),finding
357892,1381779008,Oblique lateral excision of lumbar intervertebral disc and interbody fusion (procedure),procedure
357908,1381825007,Diffuse membranous glomerulonephritis (disorder),disorder
357909,1381833008,Osteoarthritis of wrist joint due to scapholunate ligament advanced collapse (disorder),disorder
357910,1381835001,Hoarding disorder (disorder),disorder
357911,1381836000,Structure of tendon within finger of left hand (body structure),body structure
357912,1381837009,Structure of tendon within finger of right hand (body structure),body structure
357913,1381839007,Strain of tendon of long head of biceps brachii (disorder),disorder
357915,1381841008,Contrast-enhanced voiding urosonography (procedure),procedure
357916,1381842001,Osteoarthritis of wrist joint due to scaphoid non-union advanced collapse (disorder),disorder
